"","point","site","location","duration","species_count"
"1","1","A","Edge","5","12"
"2","2","B","Edge","5","10"
"3","3","C","Edge","5","13"
"4","4","A","Interior","5","11"
"5","5","B","Interior","5","13"
"6","6","C","Interior","5","12"
"7","7","A","Edge","10","19"
"8","8","B","Edge","10","10"
"9","9","C","Edge","10","12"
"10","10","A","Interior","10","11"
"11","11","B","Interior","10","21"
"12","12","C","Interior","10","12"
"13","1","A","Edge","5","12"
"14","2","B","Edge","5","10"
"15","3","C","Edge","5","13"
"16","4","A","Interior","5","11"
"17","5","B","Interior","5","13"
"18","6","C","Interior","5","12"
"19","7","A","Edge","10","19"
"20","8","B","Edge","10","10"
"21","9","C","Edge","10","12"
"22","10","A","Interior","10","11"
"23","11","B","Interior","10","21"
"24","12","C","Interior","10","12"
"25","1","A","Edge","5","12"
"26","2","B","Edge","5","10"
"27","3","C","Edge","5","13"
"28","4","A","Interior","5","11"
"29","5","B","Interior","5","13"
"30","6","C","Interior","5","12"
"31","7","A","Edge","10","19"
"32","8","B","Edge","10","10"
"33","9","C","Edge","10","12"
"34","10","A","Interior","10","11"
"35","11","B","Interior","10","21"
"36","12","C","Interior","10","12"
"37","1","A","Edge","5","12"
"38","2","B","Edge","5","10"
"39","3","C","Edge","5","13"
"40","4","A","Interior","5","11"
"41","5","B","Interior","5","13"
"42","6","C","Interior","5","12"
"43","7","A","Edge","10","19"
"44","8","B","Edge","10","10"
"45","9","C","Edge","10","12"
"46","10","A","Interior","10","11"
"47","11","B","Interior","10","21"
"48","12","C","Interior","10","12"
"49","1","A","Edge","5","12"
"50","2","B","Edge","5","10"
"51","3","C","Edge","5","13"
"52","4","A","Interior","5","11"
"53","5","B","Interior","5","13"
"54","6","C","Interior","5","12"
"55","7","A","Edge","10","19"
"56","8","B","Edge","10","10"
"57","9","C","Edge","10","12"
"58","10","A","Interior","10","11"
"59","11","B","Interior","10","21"
"60","12","C","Interior","10","12"
"61","1","A","Edge","5","12"
"62","2","B","Edge","5","10"
"63","3","C","Edge","5","13"
"64","4","A","Interior","5","11"
"65","5","B","Interior","5","13"
"66","6","C","Interior","5","12"
"67","7","A","Edge","10","19"
"68","8","B","Edge","10","10"
"69","9","C","Edge","10","12"
"70","10","A","Interior","10","11"
"71","11","B","Interior","10","21"
"72","12","C","Interior","10","12"
"73","1","A","Edge","5","12"
"74","2","B","Edge","5","10"
"75","3","C","Edge","5","13"
"76","4","A","Interior","5","11"
"77","5","B","Interior","5","13"
"78","6","C","Interior","5","12"
"79","7","A","Edge","10","19"
"80","8","B","Edge","10","10"
"81","9","C","Edge","10","12"
"82","10","A","Interior","10","11"
"83","11","B","Interior","10","21"
"84","12","C","Interior","10","12"
"85","1","A","Edge","5","12"
"86","2","B","Edge","5","10"
"87","3","C","Edge","5","13"
"88","4","A","Interior","5","11"
"89","5","B","Interior","5","13"
"90","6","C","Interior","5","12"
"91","7","A","Edge","10","19"
"92","8","B","Edge","10","10"
"93","9","C","Edge","10","12"
"94","10","A","Interior","10","11"
"95","11","B","Interior","10","21"
"96","12","C","Interior","10","12"
"97","1","A","Edge","5","12"
"98","2","B","Edge","5","10"
"99","3","C","Edge","5","13"
"100","4","A","Interior","5","11"
"101","5","B","Interior","5","13"
"102","6","C","Interior","5","12"
"103","7","A","Edge","10","19"
"104","8","B","Edge","10","10"
"105","9","C","Edge","10","12"
"106","10","A","Interior","10","11"
"107","11","B","Interior","10","21"
"108","12","C","Interior","10","12"
"109","1","A","Edge","5","12"
"110","2","B","Edge","5","10"
"111","3","C","Edge","5","13"
"112","4","A","Interior","5","11"
"113","5","B","Interior","5","13"
"114","6","C","Interior","5","12"
"115","7","A","Edge","10","19"
"116","8","B","Edge","10","10"
"117","9","C","Edge","10","12"
"118","10","A","Interior","10","11"
"119","11","B","Interior","10","21"
"120","12","C","Interior","10","12"
"121","1","A","Edge","5","12"
"122","2","B","Edge","5","10"
"123","3","C","Edge","5","13"
"124","4","A","Interior","5","11"
"125","5","B","Interior","5","13"
"126","6","C","Interior","5","12"
"127","7","A","Edge","10","19"
"128","8","B","Edge","10","10"
"129","9","C","Edge","10","12"
"130","10","A","Interior","10","11"
"131","11","B","Interior","10","21"
"132","12","C","Interior","10","12"
"133","1","A","Edge","5","12"
"134","2","B","Edge","5","10"
"135","3","C","Edge","5","13"
"136","4","A","Interior","5","11"
"137","5","B","Interior","5","13"
"138","6","C","Interior","5","12"
"139","7","A","Edge","10","19"
"140","8","B","Edge","10","10"
"141","9","C","Edge","10","12"
"142","10","A","Interior","10","11"
"143","11","B","Interior","10","21"
"144","12","C","Interior","10","12"
